Date,Close,High,Low,Open,Volume
2024-09-23,5.0,5.099999904632568,4.900000095367432,5.099999904632568,457902
2024-09-24,4.920000076293945,5.0,4.869999885559082,5.0,302319
2024-09-25,4.820000171661377,4.940000057220459,4.800000190734863,4.920000076293945,131283
2024-09-26,4.829999923706055,4.880000114440918,4.820000171661377,4.880000114440918,60157
2024-09-27,4.699999809265137,4.869999885559082,4.699999809265137,4.869999885559082,77653
2024-09-30,4.639999866485596,4.78000020980835,4.610000133514404,4.699999809265137,77662
2024-10-01,4.630000114440918,4.699999809265137,4.630000114440918,4.679999828338623,45151
2024-10-02,4.590000152587891,4.619999885559082,4.550000190734863,4.559999942779541,42033
2024-10-03,4.590000152587891,4.760000228881836,4.570000171661377,4.760000228881836,47174
2024-10-04,4.599999904632568,4.679999828338623,4.590000152587891,4.599999904632568,87800
2024-10-07,4.510000228881836,4.610000133514404,4.46999979019165,4.599999904632568,94196
2024-10-08,4.849999904632568,4.889999866485596,4.510000228881836,4.510000228881836,405218
2024-10-09,4.340000152587891,4.599999904632568,4.28000020980835,4.599999904632568,15842160
2024-10-10,4.409999847412109,4.489999771118164,4.289999961853027,4.400000095367432,445839
2024-10-11,4.389999866485596,4.449999809265137,4.360000133514404,4.409999847412109,326982
2024-10-14,4.380000114440918,4.420000076293945,4.349999904632568,4.360000133514404,105433
2024-10-15,4.300000190734863,4.400000095367432,4.25,4.329999923706055,209380
2024-10-16,4.269999980926514,4.329999923706055,4.25,4.25,96258
2024-10-17,4.289999961853027,4.320000171661377,4.28000020980835,4.300000190734863,108932
2024-10-18,4.25,4.300000190734863,4.179999828338623,4.289999961853027,246944
2024-10-21,4.21999979019165,4.269999980926514,4.21999979019165,4.21999979019165,224193
2024-10-22,4.25,4.260000228881836,4.21999979019165,4.25,394348
2024-10-23,4.289999961853027,4.300000190734863,4.199999809265137,4.289999961853027,220539
2024-10-24,4.329999923706055,4.349999904632568,4.289999961853027,4.300000190734863,188184
2024-10-25,4.320000171661377,4.349999904632568,4.289999961853027,4.329999923706055,275473
2024-10-29,4.309999942779541,4.340000152587891,4.289999961853027,4.300000190734863,152514
2024-10-30,4.190000057220459,4.329999923706055,4.179999828338623,4.309999942779541,189596
2024-10-31,4.230000019073486,4.260000228881836,4.190000057220459,4.190000057220459,232670
2024-11-01,4.199999809265137,4.269999980926514,4.150000095367432,4.269999980926514,384252
2024-11-04,4.21999979019165,4.25,4.21999979019165,4.230000019073486,86042
